geo;track_number
kz;S00000187811952
kz;UB210067325LV
kz;JNTKZ0100011445YQ
kz;UB198623708LV
kz;RR105098450KZ
kz;S00000188443376
kz;CC090247420KZ
kz;UB207261902LV
kz;LZ635450925CN
kz;UB207285634LV
kz;CA032533235KZ
kz;RI031069330UA
kz;SYRM112612931
kz;CF053336678KZ
kz;UB207306816LV
kz;UB209536587LV
kz;UB209398231LV
kz;UA323910837SB
kz;UA324203618SB
kz;UB209425396LV
kz;UB209764672LV
kz;RA128393424LV
kz;RE184252318CN
kz;RE182719111CN
kz;RA127967356LV
kz;UB203667828LV
kz;RA294659585RU
kz;RW050036657KZ
kz;EX050979470KZ
kz;RO293631807RU
kz;UB208464583LV
kz;CB027274944RU
kz;CF054082419KZ
kz;RE175425647CN
kz;CO123079545KZ
kz;RA119252202LV
kz;UD368732174YP
kz;CO108956449KZ
kz;1Z5WR3310414483847
kz;UB184480363SG
kz;CF053080751KZ
kz;CF053612804KZ
kz;UB186730015LV
kz;CO123098527KZ
kz;RA120701606LV
kz;1226070161
kz;RD118189809KZ
kz;CC106164932KZ
kz;UB186128772LV
kz;RU056254403KZ
kz;RA411343237RU
kz;SR100050146KZ
kz;UB198950645LV
kz;CO109389926KZ
kz;CF053495475KZ
kz;LZ607861377CN
kz;UB157796519LV
kz;CO095267372KZ
kz;RW051184263KZ
kz;AQ830123288CN
kz;RA126850515LV
kz;RO272981303RU
kz;EI010853290KZ
kz;RA126769629LV
kz;CO168207332KZ
kz;CO107234484KZ
kz;EG276123402KR
kz;LZ621414375CN
kz;1227759920
kz;CA032178795KZ
kz;RA124640479LV
kz;UB193031915LV
kz;EG506627313KR
kz;RB146849533KZ
kz;RA128438664LV
kz;RB486226968RU
kz;RV530647857CN
kz;CC103120331KZ
kz;RA123796660LV
kz;RA125253839LV
kz;UB192029062LV
kz;UD339253406NL
kz;EV000587246KZ
kz;CP051911730KZ
kz;UA323673986SB
kz;LP00428737197065
kz;RB054957231SG
kz;RA125073735LV
kz;RW130480379KZ
au;UW681419176CN
au;UBY9177404015121
au;2X0006867509
au;UBY9027609015122
au;CP415091644CN
au;ES10012741544690001010001B0N
au;AS158762009CN
au;8341712831
au;EJ268323486AU
au;69J739957501000910906
au;LP967903015GB
au;782984188247
au;CB130219424US
au;LB528669139GB
au;EE10012624885820001040003C0N
au;ES10012877199080001010001C0N
au;UPAAD000000032334875
au;UBY9152053015128
au;RRD010944100576635
au;THCND134674354
au;1Z23465E6759813021
au;CPWPT31000017674
au;S00000188152673
au;LZ565270014US
au;814420763921
au;ES10012985793130001010001A0N
au;YT2101521272034518
au;MP0005296944
au;EV954470571CN
au;GM339006932314001
au;UBY9063325015121
au;CK194545608GB
au;LZ630593207CN
au;2880972172
au;2880970374
au;MS0001840061
au;QEV4478577
au;LP030068911HK
au;33XHG0720254
au;ES10012910251530001010001C0N
au;EE10012715347440001010003B0N
au;EE10012715511580001040003B0N
au;YT2101021266020708
au;S00000188130020
au;33FJV1008762
au;UJ766034750CN
au;S00000175214650
au;FEP7961991
au;EBA02055007201008320902
au;2X0006825155
au;UPAAB000000443970205
au;LZ564583325US
au;1ZWV34370458784382
au;997037675222
au;UBY9082415015124
au;GNY485753201000930809
au;2X0006889480
au;LP030173818HK
au;EE10012463905760001030003E0N
au;CP063053866UA
au;MYTH061634
au;U95002912376
au;UC460703603TW
au;EE10012917627390001010003C0N
au;BN4101207231
au;EE10012897549210001030003A0N
au;EE10012639154210001010003E0N
au;EE10012627291030001030003D0N
au;TYZPH0004179881YQ
au;EE10012449311960001020003F0N
au;1ZAA00350497742567
au;CY103608760AU
au;LG854022672GB
au;RPP4463700510008167007605
au;33YVW016564401000931505
au;33YVQ019040201000935105
au;33QU7136635501000935107
au;CF138478402AU
au;EE10012954199300001020003C0N
au;UD357961803YP
au;LZ615677275CN
au;33XJP093606201000931501
au;UBY9194519015129
au;421587684
au;UJ864136475CN
au;UD359962316YP
au;LZ636306553CN
au;UB194197885SG
au;LX646540975CN
au;LZ634576805CN
au;LB212224010SG
au;LZ636349911CN
au;LB212236517SG
au;LB212312195SG
au;33YVW015689001000931508
au;33FJV100876201000930300
au;S00000184428320
au;UBY9204239015122
au;2GLZ02152354
au;2GLZ02152368
at;09446312190842
at;UG861894658BE
at;YT2101621266028960
at;RW339719944CN
at;062151213337847
at;YT2101821263006722
at;CT614019405DE
at;LP00426911058478
at;AS281471728CN
at;YT2101121272047339
at;CA676401115AT
at;52691214
at;LD035890276BE
at;TYPQXCF00815634
at;07710053011450
at;YT2101421266011890
at;UG973319435BE
at;UF679159472YP
at;LZ612768896CN
at;RM934335263AT
at;LP00427993066294
at;LS607926206CH
at;YT2101421266044892
at;09446312121879
at;1034986024354990264104
at;CA691243315AT
at;LT486987575NL
at;YT2101721272107697
at;UF692019537YP
at;UA006333412AE
at;YT2100121272061926
at;EA041005237UA
at;YT2102421272011981
at;00340434322649372721
at;05805074453479
at;RF214137415ES
at;YT2101621263001718
at;06215126607600
at;LT489909056NL
at;CA110826425AT
at;S00000184708653
at;WI002248145490FPL
at;CV790510128UA
at;YT2100621272205025
at;YT2101121266040606
at;EE10012959624680001040003G0N
at;YT2101121266031441
at;UF182639532SG
at;JVGL06162135545374812730
at;09446312167783
at;YT2101021272004313
at;D74260I800004
at;LB044128495LT
at;CA440392986AT
at;EQKPT7113134978YQ
at;WI002113437720FPL
at;LL806381539LU
at;US018701335CN
at;JM2102601288009461
at;SY14070946591
at;YT2100721266034703
at;UW681033422CN
at;1037626001006270250208
at;YT2101721266023644
at;YT2101921263006623
at;79021186104610
at;JVGL0602404601089712
at;YT2101421266012473
at;LT496112069NL
at;HUT2090GB69572453301
at;06215113959044
at;LD035945315BE
at;YT2102001277019952
at;EV955360507CN
at;CP059258418TR
at;06215126024196
at;CY116335398DE
at;LT487725298NL
at;7341050100203897
at;AQ705171536CN
at;06275014506546
at;YT2100821272083622
at;LT563330262NL
at;YT2101621266035674
at;06215093116927
at;RO668764285AT
at;CJ120564729DE
at;LT119619323NL
at;LT496207362NL
at;CS061425953DE
at;1000224027700240111507
at;YT2100821266059465
at;CK201958350GB
at;SB017740425LV
at;SB018577947LV
at;CA343548778AT
at;UB188603805LV
at;RE176287195CN
at;CNCAI2021012110344499
at;05162013297875
az;RO300126786RU
az;LP00428872127873
az;LP00428266454682
az;SYRM112246397
az;EV741244412CN
az;SY14076296186
az;ZF430998878HK
az;LP191186296SG
az;S00000185657854
az;LP00430437961829
az;LP00430346131793
az;LP00430508672190
az;LT487554032NL
az;9838415230
az;304987896
az;LP00430092442183
az;9274890207416310333785
az;RF041449200UA
az;CC626212009SE
az;UV332394072UZ
az;UV320895111UZ
az;EE455954847IT
az;RO491018455EE
az;RA647795490RU
az;RR088373061RU
az;SY14073942085
az;LP00426963259467
az;SYAET04287425
az;UV263446435UZ
az;RA428111807UA
az;SY14060902259
az;RO259930267RU
az;UB119449394LV
az;UB119450256LV
az;LP00426584720268
az;20450336821880
az;VR389480365YP
az;4201972092612927005455000124326241
az;RO100406499RU
az;RR325733169BY
az;LP00428568129039
az;RR343222113TR
az;EV741314379CN
az;CV130509316US
az;RU848722450NL
az;GM545322484044502006
az;RO226716345RU
az;LP00428854871280
az;LP00429638730815
az;UV332499943UZ
az;UV330920650UZ
az;UV328823084UZ
az;RZ975791483GB
az;UA323148880SB
az;CB050674190RU
az;RC001043965GB
az;S00000186999473
az;UB126226809LV
az;UB126182612LV
az;UB126576288LV
az;EV952276650CN
az;SYAE003004732
az;UA323365377SB
az;SYRM110964995
az;CP002601935AZ
az;RR077184858RU
az;9405508205496168875013
az;RH081278874GB
az;UA3137940JJ21081G
az;UM143735625US
az;CP160364495KZ
az;SY14070745421
az;RK030148331UA
az;CB054670114RU
az;CP690490920UA
az;UJ755211618CN
az;CQ650624209UA
az;SYAE003297881
az;LP00420713194845
az;782720668908
az;RG650441660UA
az;EX093588578FR
az;RB905086609UA
az;UV317584729UZ
az;VR387906831YP
az;CD309850135SE
az;RR350641331PL
az;RO226664317RU
az;RU831463416NL
az;SY14075088854
az;HUT1860GB19935502901
az;6502506861869
az;LP00428597555244
az;LP00424102012234
az;UB126449179LV
az;LQ280366771CN
az;LP00428419663495
az;RO298443037RU
az;RA085023234UA
az;CV851086121UA
ax;JJFI65458320044229107
ax;YT2033501271023419
ax;CE061108522FI
ax;CE220109719AX
ax;39920024886010
ax;LT215857121NL
ax;CE220108815AX
ax;CE220108347AX
ax;RR229076791AX
ax;UJ442035602CN
ax;EE10008345066650001020003G0N
al;SYRM111945796
al;S00000171903798
al;0000290722245U
al;WL169240710GB
al;CP111150654XZ
al;CP111150658XZ
al;CP111150655XZ
al;RB054443775SG
al;SY14069751076
al;CP111150677XZ
al;CP111150696XZ
al;CP111142702XZ
al;CP111150624XZ
al;CP111150657XZ
al;UB195660304SG
al;RB045021748SG
al;RB050662903SG
al;CA601019234AT
al;CJ183450484US
al;RB046982251SG
al;S00000186176577
al;RB033089473SG
al;RR430374206PL
al;S00000186791527
al;LL344433578LU
al;CP111150665XZ
al;CP111150666XZ
al;S00000179901209
al;S00000181709602
al;UB173589625SG
al;UB167793640SG
al;UB193087058SG
al;UB175169688SG
al;5P62C31999881
al;SYAE003782584
al;EE10012043485520001030003C0N
al;SY14065539087
al;RB053259551SG
al;CP111150641XZ
al;CP111150648XZ
al;RB048152795SG
al;YT2036121272079949
al;CP111150647XZ
al;RB041834790SG
al;RB052135462SG
al;UB175325391SG
al;RB051781646SG
al;RB051850735SG
al;RN674020485GB
al;S00000185403376
al;UB195637226SG
al;UB195898884SG
al;5IVC0049850121
al;RB044440173SG
al;RB052619412SG
al;LP00421166899068
al;S00000185442627
al;S00000185198624
al;RU842052062NL
al;RH611874638UA
al;RB044670503SG
al;RB050284781SG
al;SF6042221657175
al;LP00428024210395
al;UB194568569SG
al;S00000179081498
al;RB047849280SG
al;RB040777230SG
al;RK513660561FR
al;CH119519957US
al;UB194109775SG
al;RB041783599SG
al;RB045062169SG
al;RB047722377SG
al;RB036342625SG
al;UB194018076SG
al;LP00427473982946
al;S00000184063261
al;SYRM111862782
al;RF218125580ES
al;AS179649795CN
al;SYRM111603708
al;S00000160002529
al;CP739827162AL
al;LP00416735722332
al;RB038483824SG
al;UB179418451SG
al;RC103903360IT
al;RB044379556SG
al;S00000171869410
al;RB029085807SG
al;RB029052812SG
al;RU830952571NL
al;EJ380007771ES
al;781411618271
al;UB179744907SG
al;RB043366953SG
al;RB044350075SG
al;SYAET03325488
al;EE10010756615140001030003A0N
dz;S00000179319340
dz;SYVA001348152
dz;UD335655395YP
dz;UD337619308YP
dz;RB047547275SG
dz;RB055124089SG
dz;RB049710147SG
dz;RB052689149SG
dz;RB057596832SG
dz;RB046420432SG
dz;RB057953962SG
dz;RB057363254SG
dz;RB057622373SG
dz;RB057978730SG
dz;RB057980835SG
dz;RB045053414SG
dz;RB052270431SG
dz;RB057955535SG
dz;EE350004065DZ
dz;RB046813213SG
dz;RB051472548SG
dz;SY14069443254
dz;UD339195703YP
dz;7074401843
dz;7074411536
dz;7074418665
dz;7074395086
dz;RB057886959SG
dz;UB189585122SG
dz;LP00423925043588
dz;RB053554823SG
dz;RB052805732SG
dz;S00000185082316
dz;RB047017542SG
dz;UB182341620SG
dz;RB057795263SG
dz;RB057774665SG
dz;LP625450320FR
dz;LP620135065FR
dz;EW094001886FR
dz;RB051895802SG
dz;UA320656949SB
dz;UB166541675SG
dz;UA320684080SB
dz;SYAET04903536
dz;RB057094328SG
dz;S00000187703985
dz;RB057089022SG
dz;LP00428520065759
dz;LP00418273050339
dz;RB049265737SG
dz;RB056218803SG
dz;RB053575046SG
dz;RB052675357SG
dz;RB055986954SG
dz;RB049364071SG
dz;RB056878077SG
dz;RB055537292SG
dz;RB053567637SG
dz;RB055993411SG
dz;RB057094362SG
dz;RB051447923SG
dz;S00000182449945
dz;UB191855680SG
dz;UB192588591SG
dz;RB055784577SG
dz;UB194293348SG
dz;7074406835
dz;EE351700535DZ
dz;RB047483076SG
dz;UB193488997SG
dz;RB049599386SG
dz;RB057389305SG
dz;LP00420538653764
dz;EV953727965CN
dz;RB052872025SG
dz;RB052608030SG
dz;RB052575226SG
dz;RB052455648SG
dz;RB052344580SG
dz;RB052492549SG
dz;RB039855840SG
dz;RB045526658SG
dz;RB055644226SG
dz;RB055649033SG
dz;RB051860074SG
dz;RB049274977SG
dz;RH143003280TR
dz;UH916233055TR
dz;S00000182919849
dz;2245311609
dz;RB054740756SG
dz;RB057067027SG
dz;EW093911320FR
dz;RB053094968SG
dz;LP00420057595151
dz;950675917243
dz;RB055075153SG
dz;RB055878464SG
dz;RB056445337SG
as;S00000181845259
as;9505512493620297062887
as;SYBAD16680828
as;LP00412879333696
as;92748999998771000199589995
as;EJ463797644US
as;9205590213423824949920
as;AS471566608CN
as;ES10009731214880001010001A0N
as;9261290980694436607281
as;UJ252007322CN
as;VR200479613YP
as;9505510580800196175517
as;9505516213550192570078
as;9505516213550192570061
as;LS379378418CN
as;LY342487278CN
as;ID15136473403556CN
as;240473701715
as;LW688841344CN
as;UT286544475CN
as;UQ217576279CN
ai;1Z981A690454864369
ai;805059764613
ai;LY436300657CN
ai;LW466771062CN
ai;RV188267349CN
ai;1Z2A28026743368858
ao;RB034346332SG
ao;RB023351481SG
ao;RB023666097SG
ao;UB197869761SG
ao;0503010867896
ao;284281I151148
ao;CA000019418PT
ao;LP00430166011936
ao;S00000187798381
ao;863452452452
ao;S00000176500694
ao;CP023270743PT
ao;UB193474454SG
ao;UB193181668SG
ao;RB048623509SG
ao;UD403154744MY
ao;RB050144696SG
ao;RB033896316SG
ao;RB033871433SG
ao;952616807070
ao;LP633905853GB
ao;RB049600994SG
ao;RB044384026SG
ao;RB042253589SG
ao;LP00418234908886
ao;S00000179713136
ao;CQ317630882DE
ao;UD316017537YP
ao;RB019732033SG
ao;RB022116990SG
ao;RB022170647SG
ao;RB022127255SG
ao;RB022066777SG
ao;RB034458594SG
ao;RB034193375SG
ao;RB034449368SG
ao;RB034350045SG
ao;RB034222620SG
ao;RB034319028SG
ao;RB025479931SG
ao;RB022154233SG
ao;PL000013185171
ao;RH388117027PT
ao;RZ853989433GB
ao;RB913890628SG
ao;RB944703400SG
ao;RB945997325SG
ao;RB016126088SG
ao;S00000183700079
ao;RB048496592SG
ao;RB048464793SG
ao;RB048892125SG
ao;YT2100521266064226
ao;LP00420973024882
ao;UD626751184NL
ao;LT393315396NL
ao;EB010356091UA
ao;RB048282331SG
ao;UB193151079SG
ao;RB021165230SG
ao;RU766935952NL
ao;UB192668992SG
ao;UB192656345SG
ao;UB192694927SG
ao;S00000182672990
ao;RB046354248SG
ao;RB046078735SG
ao;RB037991405SG
ao;RB033193768SG
ao;UB184854074SG
ao;S00000176343933
ao;S00000176605744
ao;S00000176354551
ao;S00000182406068
ao;RH630104270PT
ao;RZ375435891GB
ao;RH628309164PT
ao;S00000178093670
ao;LT397167724NL
ao;RE163954797CN
ao;S00000178175793
ao;LT396969168NL
ao;S00000167331164
ao;RB017314048SG
ao;RB015543927SG
ao;RH631297355PT
ao;RH646907331PT
ao;S00000169321932
ao;RB008952869SG
ao;RB018185375SG
ao;RB018165861SG
ao;UB186073963SG
ao;RB038758387SG
ao;S00000177932516
ao;LP00420873246289
ao;LP00420885303369
ao;CP024309692PT
ao;LP00424531167148
ao;RA740694888AO
ao;RE154049340CN
ad;PQ70EH0422257460125700R
ad;PQ70EH0417671550125700M
ad;0082800082808512699207001
ad;0082800082808512699021001
ad;UX6ZLB0478206740125700S
ad;CH107835033NL
ad;CW043164465FR
ad;YT2021521266005628
ad;CD0DI70000777880008023R
ad;EE006734999RU
ad;EE008613622RU
ad;RF219574885ES
ad;CP063260775UA
ad;EB130724703BR
ad;PQ6TYM0491235810125700Q
ad;21652848710101942200042209
ad;8U01834052715
ad;RR004308225RU
ad;TECSP08534372
ad;CU0DI70000070960037800P
ad;RO257604548RU
ad;VD0DI70000769990041071T
ad;RH670252395PT
ad;SYAE002888494
ad;SYAE002780613
ad;SYAE002780603
ad;SYAE002727086
ad;6A19747766872
ad;6A19303582212
ad;6A19352258069
ad;LD020298813BE
ad;6A19747752912
ad;6A19352267573
ad;CC838337545FR
ad;CC976382065FR
ad;RF214177595ES
ad;RF217904990ES
ad;RF217018893ES
ad;RS918280929DE
ad;8U01770121902
ad;03805A002280
ad;CC884719970FR
ad;RD066166765UA
ad;CW040654142FR
ad;CW040890438FR
ad;CH105780425NL
ad;CW040654301FR
ad;LX303114773ES
ad;EE028989942RU
ad;CW040728830FR
ad;CW040645667FR
ad;RR379204156PL
ad;LX303106984ES
ad;CW040456924FR
ad;464220386174
ad;SY14055395618
ad;TECSP07809858
ad;UR0DI70000038660008660A
ad;EE039217025RU
ad;8J00651903149
ad;CP062434982UA
ad;RN682702018CH
ad;EY595585079US
ad;RX245637552DE
ad;VR357541749YP
ad;RB074302856UA
ad;EE863075072
ad;EE863075072PT
ad;YT2027421272044196
ad;RH637711504PT
ad;EJ379900911ES
ad;RR304973098PL
ad;RU808212665NL
ad;RR226781083BR
ad;02305G403305
ad;EE028663999RU
ad;S00000134582258
ad;S00000152697969
ad;RU665992862NL
ad;CT824574924CN
ad;CC016584446ES
ad;UD197857539YP
ad;61455042525736
ad;8G47985652527
ad;CL780734585NL
ad;CK112802608ES
ad;UD140943323MY
ad;825888014
ad;825865557
ad;1487547880
ad;S00000152061774
ad;S00000145550933
ad;EJ379859131ES
ad;712-3700349
ad;712-3700420
ad;RF097407625BE
ad;S00000146487033
ad;VR329449394YP
ad;YT2016801295000403
ad;UA439660481US
aq;RE012476171CN
ag;S00000188036225
ag;S00000187767337
ag;RB056475965SG
ag;811120666243
ag;782500261022
ag;2105770660
ag;9461211899220006804945
ag;65YGNPTQ10
ag;RZ090017885GB
ag;YT2033721272204893
ag;RB023298242SG
ag;CH112790887US
ag;LP00186946068760
ag;LW588747465CN
ag;LP00175910775021
ag;LN843343279CN
ag;UW541251262CN
ag;UT627174148TH
ag;LP00170437277729
ag;LY032940336CN
ag;9405510200829080574357
ag;LW561776865CN
ag;74890988318638334926
ag;LW883951785CN
ag;9505510546429312170173
ag;LW835657148CN
ag;RV108965105CN
ag;9500114847329191271521
ag;61290980894221292238
ag;CP000077937AG
ag;RR000983202AG
ag;RR000983193AG
ar;3867500000050224621
ar;6836100000000000542
ar;7161900000000004869
ar;8881095749
ar;360000118678510
ar;360000118599300
ar;360000064190650
ar;QAA25980638
ar;UJ750091238CN
ar;3867500000050235634
ar;G00000631221060
ar;LP00430880432219
ar;3867500000050199035
ar;SF6042218064481
ar;300000248722100
ar;B38969139
ar;CP003660209CO
ar;5764400000000012861
ar;EU055792777AR
ar;UQ737750205CN
ar;6748900000000000370
ar;SP655542841AR
ar;PAA12080168
ar;9691254111
ar;4797500000000002333-1
ar;CP991405815
ar;360000109495970
ar;2808800000000092969
ar;SY14077950789
ar;5079800000000585156
ar;360000116956820
ar;5999800000000003208
ar;UF690978743YP
ar;EP785355955
ar;CX103229869
ar;360000115145690
ar;360000117034020
ar;CP241725971AR
ar;7120700000000003652
ar;CP263805518AR
ar;3447900000000055445
ar;PAA12104437
ar;G00000635799570
ar;SP617818930AR
ar;300000248398650
ar;7053100000000000166
ar;SP656152462AR
ar;7297500000000000413
ar;VR392655549YP
ar;300000248790560
ar;300000248712160
ar;300000248807420
ar;999006277772
ar;100523554
ar;4387200000000016340
ar;4403800000000002171
ar;UN001232309MH
ar;UN001493034MH
ar;2165100000000589796
ar;2165100000000590733
ar;1217400000003258553
ar;3867500000050196976
ar;CP815600612
ar;YAE31618660
ar;6628600000000000627
ar;4566100000000145333
ar;360000116160960
ar;6151400000000000749-1
ar;CU740020095AR
ar;MDA02969624
ar;4174300000000013159
ar;1217400000003259449-1
ar;S00000187234716
ar;3335600000000002037
ar;310000015938142
ar;7243700000000000101
ar;3867500000050241184
ar;3867500000050205355
ar;3867500000050232712
ar;3631600000000169955
ar;3650000000000304274
ar;5079800000000583623
ar;1217400000003258015
ar;YAA08877476
ar;4387200000000016358
ar;7038400000000004212
ar;3867500000050226891
ar;6523000000000017358
ar;5079800000000578748
ar;8089078694
ar;6220300000000001510
ar;1277100000000040911
ar;1862100001439342236
ar;360000117075750
ar;3867500000050214787
ar;420331669200190228643923404161
ar;7065800000000004792
ar;360000110895890
ar;SP656017723AR
ar;300000248822810
am;RA128116386LV
am;RA128428653LV
am;UB194132955SG
am;RA127624753LV
am;9400108205497786710196
am;RO298065057RU
am;RO276412302RU
am;CC017310528ES
am;9205590240609231441255
am;Y0084172203
am;UB193327181SG
am;UD358607353YP
am;SYWH013704385
am;EX225593115SG
am;UD401820674MY
am;RR292255870AM
am;EW093929688FR
am;RE400062108UA
am;RA125070760LV
am;CL037381418RU
am;RA119149704LV
am;RA122831904LV
am;RA121813161LV
am;RA123726522LV
am;RA123612397LV
am;RA127060734LV
am;UD536655750NL
am;RA127579419LV
am;UB191241196SG
am;UD401980367MY
am;RA124559772LV
am;RA125987809LV
am;RA127458985LV
am;RA125301640LV
am;UD617490344NL
am;RA123604648LV
am;EW093003364FR
am;RO163003522RU
am;782916297608
am;UD337735459YP
am;RA125603225LV
am;RA125913240LV
am;RA119329564LV
am;UB179497202SG
am;EB962607245FR
am;CY540780935DE
am;RA125441465LV
am;0000442367290
am;UB180211114SG
am;CP409205104CN
am;LP00181404008693
am;7448048690
am;RA126368360LV
